longitude,latitude,track_id,class_name,confidence,reliability,accuracy_meters,detection_count,first_frame,last_frame,duration_frames,estimated_distance_m
-58.674966665332576,-34.66265084063309,0,Led-150,0.8,0.983,1.0,12,0,100,100,25.0
-58.674964371144604,-34.66261974113275,2,Led-150,0.8,0.982,1.0,8,0,100,100,25.0
-58.674952293746514,-34.66265780750597,3,Led-240,0.8,0.993,1.0,2,0,100,100,25.0
-58.67496136735958,-34.66265703418498,4,Led-150,0.8,0.998,1.0,3,0,100,100,25.0
-58.674956466425954,-34.66256896391177,5,Led-240,0.8,0.956,1.0,4,0,100,100,25.0
-58.6750424919381,-34.66259095267329,6,Led-150,0.8,0.971,1.0,13,0,100,100,25.0
-58.674894736476915,-34.66265222680738,28,Led-150,0.8,0.976,1.0,0,0,100,100,25.0
-58.67494119782377,-34.662678050869005,29,Led-240,0.8,0.998,1.0,0,0,100,100,25.0
-58.67494125289751,-34.662677811744715,40,Led-150,0.8,0.996,1.0,0,0,100,100,25.0
-58.674921533816345,-34.662644879036044,56,Led-150,0.8,0.986,1.0,0,0,100,100,25.0
-58.6749413873378,-34.66267730972369,64,Led-150,0.8,0.997,1.0,1,0,100,100,25.0
-58.674987955616146,-34.6626118414526,76,Led-150,0.8,0.986,1.0,0,0,100,100,25.0
-58.67489445365011,-34.66265195965566,79,Led-240,0.8,0.991,1.0,0,0,100,100,25.0
-58.67495208165834,-34.66265833257828,93,Led-240,0.8,0.996,1.0,0,0,100,100,25.0
-58.674985712415705,-34.66264759031195,111,Led-240,0.8,0.995,1.0,0,0,100,100,25.0
-58.674987344176714,-34.66261287229306,128,Led-150,0.8,0.985,1.0,1,0,100,100,25.0
-58.674986986458634,-34.66264627770657,140,Led-150,0.8,0.985,1.0,1,0,100,100,25.0
-58.67495221362017,-34.6626580003965,146,Led-150,0.8,0.995,1.0,1,0,100,100,25.0
-58.67494141624762,-34.66267703336881,157,Led-240,0.8,0.995,1.0,2,0,100,100,25.0
-58.674921376130264,-34.66264436864659,170,Led-150,0.8,0.995,1.0,1,0,100,100,25.0
-58.67498658891633,-34.662614146760816,173,Led-240,0.8,0.992,1.0,0,0,100,100,25.0
-58.674952120488676,-34.662658238124955,180,Led-150,0.8,0.995,1.0,0,0,100,100,25.0
-58.6749867064306,-34.66264656675698,197,Led-240,0.8,0.992,1.0,0,0,100,100,25.0
-58.67495228831279,-34.66265778399178,206,Led-150,0.8,0.993,1.0,1,0,100,100,25.0
-58.67498811788007,-34.66264511432252,217,Led-240,0.8,0.988,1.0,1,0,100,100,25.0
-58.674867741385334,-34.66258689798538,225,Led-240,0.8,0.977,1.0,0,0,100,100,25.0
-58.67492148419347,-34.66264488229858,226,Led-150,0.8,0.995,1.0,0,0,100,100,25.0
-58.67496138471016,-34.662657000402916,231,Led-240,0.8,0.999,1.0,0,0,100,100,25.0
-58.674952146762486,-34.66265815746392,242,Led-150,0.8,0.995,1.0,0,0,100,100,25.0
-58.67496377824374,-34.66265607850004,253,Led-240,0.8,0.979,1.0,5,0,100,100,25.0
-58.674990254436246,-34.66264480304566,265,Led-240,0.8,0.963,1.0,5,0,100,100,25.0
-58.67495627885918,-34.66256969826178,288,Led-150,0.8,0.984,1.0,1,0,100,100,25.0
-58.67494128595952,-34.66267762733318,289,Led-240,0.8,0.999,1.0,0,0,100,100,25.0
-58.6749870192732,-34.66261342090925,297,Led-240,0.8,0.996,1.0,1,0,100,100,25.0
-58.67492232903199,-34.66264805818555,311,Led-240,0.8,0.996,1.0,1,0,100,100,25.0
-58.67495739467575,-34.66256766084829,350,Led-150,0.8,0.956,1.0,1,0,100,100,25.0
-58.67485153067941,-34.66256119319298,355,Led-240,0.8,0.936,1.0,0,0,100,100,25.0
-58.67492228918323,-34.662647953896496,364,Led-150,0.8,0.993,1.0,0,0,100,100,25.0
-58.6749412713131,-34.6626776449864,379,Led-240,0.8,0.999,1.0,0,0,100,100,25.0
-58.674954349572005,-34.66265267418459,381,Led-240,0.8,0.996,1.0,1,0,100,100,25.0
-58.67492402905275,-34.662647034427735,387,Led-240,0.8,0.986,1.0,2,0,100,100,25.0
-58.67494291113544,-34.66267710723281,398,Led-150,0.8,0.986,1.0,1,0,100,100,25.0
-58.67495459952916,-34.66265194044718,415,Led-240,0.8,0.974,1.0,0,0,100,100,25.0
-58.67495404957788,-34.662658043137306,420,Led-150,0.8,0.987,1.0,0,0,100,100,25.0
-58.67495477405051,-34.66265855790115,432,Led-150,0.8,0.996,1.0,0,0,100,100,25.0
-58.674958900954465,-34.66257069601923,454,Led-150,0.8,0.968,1.0,1,0,100,100,25.0
-58.67495603101597,-34.66264997184473,460,Led-150,0.8,0.991,1.0,0,0,100,100,25.0
-58.67499055091471,-34.662612147372755,474,Led-150,0.8,0.993,1.0,1,0,100,100,25.0
-58.67491221901293,-34.66266851665868,486,Led-150,0.8,0.996,1.0,0,0,100,100,25.0
-58.6749443015248,-34.66267673057269,504,Led-150,0.8,0.992,1.0,0,0,100,100,25.0
-58.67496120346537,-34.662612077091595,518,Led-150,0.8,0.994,1.0,0,0,100,100,25.0
-58.67492496345775,-34.66264754716274,526,Led-150,0.8,0.995,1.0,0,0,100,100,25.0
-58.674992027351095,-34.66260966935877,539,Led-240,0.8,0.97,1.0,1,0,100,100,25.0
-58.67495586320476,-34.66265581836231,579,Led-240,0.8,0.996,1.0,0,0,100,100,25.0
-58.67498758608857,-34.66261427458221,586,Led-150,0.8,0.985,1.0,0,0,100,100,25.0
-58.67494267366157,-34.66266782800904,628,Led-150,0.8,0.995,1.0,0,0,100,100,25.0
-58.67494591151877,-34.662670676375136,629,Led-240,0.8,0.992,1.0,0,0,100,100,25.0
-58.674963293253114,-34.662604295025204,630,Led-150,0.8,0.981,1.0,1,0,100,100,25.0
-58.674875040344865,-34.66263301571872,632,Led-150,0.8,0.976,1.0,0,0,100,100,25.0
-58.67491723454558,-34.66262296670128,639,Led-240,0.8,0.991,1.0,0,0,100,100,25.0
-58.67496525689586,-34.66262356649428,648,Led-150,0.8,0.98,1.0,2,0,100,100,25.0
-58.674945652263936,-34.66267159335849,662,Led-150,0.8,0.991,1.0,0,0,100,100,25.0
-58.67499602661585,-34.66263984140439,724,Led-150,0.8,0.98,1.0,1,0,100,100,25.0
